國軍醫院名稱,地址,電話,電話掛號,人工預約掛號
三軍總醫院 ,"內湖院區：11490臺北市內湖區成功路二段325號
汀州院區：10086台北市汀州路三段40號","（02）8792-3311
（02）2365-9055",（02）8792-7111,（02）87927222
三軍總醫院基隆分院附設民眾診療服務處,孝二路門診區：20042基隆市仁愛區孝二路39號,（02）2423-1735,無,（02）2423-1730
,正榮街門診區：20244基隆市中正區正榮街100號,（02）2463-3330,無,（02）2463-3330轉11566，11567
三軍總醫院澎湖分院附設民眾診療服務處,88056澎湖縣馬公市前寮里90號,（06）921-1116,無,（06）921-1116轉59100-59102
國軍桃園總醫院 ,32551桃園縣龍潭鄉中興路168號,（03）479-9595,（03）479-9999　,（03）499-1668 　
三軍總醫院松山分院,10581 臺北市松山區健康路131號,（02）2764-2151,"（02）2764-8857
（02）2764-7287
（02）2764-8406
（02）2764-7351",（02）2764-2151轉1
三軍總醫院北投分院 ,11243臺北市北投區新民路60號,（02）2895-9808,無,"（02）2893-2743
（02）2893-5869"
國軍新竹地區醫院附設民眾診療服務處,30054新竹市武陵路3號 ,（03）534-8181,（03）533-5813,（03）542-0603
國軍台中總醫院,41168臺中市太平市中山路二段348號,（04）2393-4191,"（04）2392-0791
（04）2393-0670
（04）2393-0623","（04）2393-5741
（04）2393-4191轉525282"
國軍臺中總醫院附設民眾診療服務處中清分院,40466臺中市忠明路500號,（04）2203-3178,,（04）2203-3178轉525030、525031
國軍高雄總醫院,80284高雄市苓雅區中正一路2號,（07）749-6751,（07）749-0801,（07）749-6337
國軍高雄總醫院附設屏東民眾診療服務處,90092屏東市大湖路58巷22號,（08）756-0756,（08）756-0701,（08）756-0756轉282
高雄總醫院左營分院,81342高雄市左營區軍校路553號,（07）581-7121,"（07）582-3350
（07）582-3347",（07）581-7121轉2125、2144
高雄總醫院岡山分院,82050高雄縣岡山鎮大義二路1號,（07）625-0919,（07）625-0919轉112,（07）625-9595
國軍花蓮總醫院,"北埔總院區：97144花蓮縣新城鄉嘉里村嘉里路163號
進豐門診處：97055花蓮市進豐街100號
富世門診中心：97251花蓮縣秀林鄉富世村101號","（03）826-3151
（03）833-5730
（03）861-0918",（03）826-2424,（03）8263151轉815100
 
